event_id,vintage_id,supersedes_id,subject_entity_id,impact_entity_id,security_id,event_type,evidence_stage,direction,claim_label,published_at,available_at,tradable_from,timestamp_policy_id,alpha_feature_eligible,source_id,source_locator,theme,product,summary
EVT001,V1,,ENTITY_NVDA,ENTITY_NVDA,SEC_US_NVDA,demand_acceleration,reported,positive,issuer_reported_actual,2023-08-23T00:00:00Z,2023-08-23T20:15:00Z,2023-08-24T13:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC001,Quarterly Revenue Trend rows Total and Data Center,accelerated_compute,data_center,Issuer reported record quarterly and data-center revenue
EVT002,V1,,ENTITY_MU,ENTITY_MU,SEC_US_MU,profitability_pressure,reported,negative,issuer_reported_actual,2023-12-20T00:00:00Z,2023-12-20T21:15:00Z,2023-12-21T14:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC002,Fiscal Q1 2024 GAAP gross margin,memory,DRAM_and_NAND,Issuer reported a negative GAAP gross margin
EVT003,V1,,ENTITY_MU,ENTITY_MU,SEC_US_MU,cycle_inflection,management_statement,positive,issuer_forward_statement,2023-12-20T00:00:00Z,2023-12-20T21:15:00Z,2023-12-21T14:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC002,CEO quotation,memory,DRAM_and_NAND,Management expected business fundamentals to improve through calendar 2024
EVT004,V1,,ENTITY_MU,ENTITY_MU,SEC_US_MU,production_start,commercial_production,positive,issuer_reported_actual,2024-02-26T12:00:00Z,2024-02-26T12:15:00Z,2024-02-26T14:30:00Z,EXACT_PLUS_15M,true,SRC003,Opening paragraph announcing volume production,memory,HBM3E,Issuer announced volume production of HBM3E
EVT006,V1,,ENTITY_MU,ENTITY_MU,SEC_US_MU,demand_acceleration,reported,positive,issuer_reported_actual,2024-06-26T00:00:00Z,2024-06-26T20:15:00Z,2024-06-27T13:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC005,Headline and CEO quotation,memory,data_center,Issuer reported 50 percent sequential data-center revenue growth
EVT007,V1,,ENTITY_VRT,ENTITY_VRT,SEC_US_VRT,order_acceleration,reported,positive,issuer_reported_actual,2024-07-24T00:00:00Z,2024-07-24T20:15:00Z,2024-07-25T13:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC006,Headline organic orders metric,power_and_cooling,orders,Issuer reported 57 percent organic order growth year over year
EVT008,V1,,ENTITY_NVDA,ENTITY_NVDA,SEC_US_NVDA,demand_acceleration,reported,positive,issuer_reported_actual,2024-08-28T00:00:00Z,2024-08-28T20:15:00Z,2024-08-29T13:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC007,Quarterly Revenue Trend rows Total and Data Center,accelerated_compute,data_center,Issuer reported record quarterly and data-center revenue
EVT009,V1,,ENTITY_AVGO,ENTITY_AVGO,SEC_US_AVGO,revenue_outlook,management_guidance,positive,issuer_forward_statement,2024-09-05T00:00:00Z,2024-09-05T20:15:00Z,2024-09-06T13:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC008,CEO quotation containing fiscal-year AI revenue outlook,custom_silicon,AI_revenue,Management increased its fiscal-2024 AI revenue outlook
EVT010,V1,,ENTITY_VRT,ENTITY_VRT,SEC_US_VRT,order_acceleration,reported,positive,issuer_reported_actual,2024-10-23T00:00:00Z,2024-10-23T20:15:00Z,2024-10-24T13:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC009,Orders paragraph,power_and_cooling,orders,Issuer reported 37 percent trailing-twelve-month organic order growth
EVT011,V1,,ENTITY_AVGO,ENTITY_AVGO,SEC_US_AVGO,revenue_realization,reported,positive,issuer_reported_actual,2024-12-12T00:00:00Z,2024-12-12T21:15:00Z,2024-12-13T14:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC010,CEO quotation containing fiscal-year AI revenue,custom_silicon,AI_revenue,Issuer reported 12.2 billion dollars of fiscal-2024 AI revenue
EVT012,V1,,ENTITY_MU,ENTITY_MU,SEC_US_MU,demand_acceleration,reported,positive,issuer_reported_actual,2024-12-18T00:00:00Z,2024-12-18T21:15:00Z,2024-12-19T14:30:00Z,DATE_ONLY_NEXT_SESSION,true,SRC011,Fiscal Q1 2025 highlights,memory,data_center,Issuer reported record quarterly revenue driven by AI demand
EVT014,V1,,ENTITY_MU,ENTITY_NVDA,SEC_US_NVDA,design_in,commercial_qualification,neutral,relationship_assertion,2025-03-18T00:00:00Z,2025-03-18T20:15:00Z,2025-03-19T13:30:00Z,DATE_ONLY_NEXT_SESSION,false,SRC013,HBM3E 12-high paragraph naming NVIDIA GB300,memory,HBM3E_12H,Issuer stated its HBM3E 12-high solution was designed into NVIDIA GB300
