source_id,source_type,publisher,title,url,published_at,publication_precision,retrieved_at,source_locator
SRC001,issuer_release,NVIDIA,NVIDIA Announces Financial Results for Second Quarter Fiscal 2024,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2024,2023-08-23T20:05:00Z,exact,2026-09-11T00:00:00Z,Financial highlights and CFO commentary
SRC002,prepared_remarks,Micron,First Quarter Fiscal 2024 Prepared Remarks,https://investors.micron.com/static-files/4e2b9359-c174-49b6-9c68-2b938b3c33d2,2023-12-20T21:05:00Z,exact,2026-09-11T00:00:00Z,HBM and industry outlook sections
SRC003,issuer_release,Micron,Micron Commences Volume Production of HBM3E,https://investors.micron.com/news/press-release/2024/Micron-Commences-Volume-Production-of-Industry-Leading-HBM3E-Solution-to-Accelerate-the-Growth-of-AI-02-26-2024/default.aspx,2024-02-26T12:00:00Z,exact,2026-09-11T00:00:00Z,Release body
SRC004,issuer_release,Marvell,Marvell Reports Fourth Quarter and Fiscal Year 2024 Results,https://investor.marvell.com/news-events/press-releases/detail/151/marvell-technology-inc-reports-fourth-quarter-and-fiscal-year-2024-financial-results,2024-03-07T21:05:00Z,exact,2026-09-11T00:00:00Z,CEO comments on AI revenue
SRC005,prepared_remarks,Micron,Third Quarter Fiscal 2024 Prepared Remarks,https://investors.micron.com/static-files/4550f98c-1054-4847-a929-c17d520a0564,2024-06-26T20:05:00Z,exact,2026-09-11T00:00:00Z,HBM demand and allocation section
SRC006,issuer_release,Vertiv,Vertiv Reports Second Quarter 2024 Results,https://investors.vertiv.com/news/news-details/2024/Vertiv-Reports-57-Organic-Orders-Growth-13-Net-Sales-Growth-and-63-Operating-Profit-Growth-in-Second-Quarter-Raises-Full-Year-2024-Outlook/default.aspx,2024-07-24T10:00:00Z,exact,2026-09-11T00:00:00Z,Headline and operating metrics
SRC007,issuer_release,NVIDIA,NVIDIA Announces Financial Results for Second Quarter Fiscal 2025,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2025,2024-08-28T20:05:00Z,exact,2026-09-11T00:00:00Z,Financial highlights
SRC008,issuer_release,Broadcom,Broadcom Announces Third Quarter Fiscal Year 2024 Financial Results,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-third-quarter-fiscal-year-2024-financial,2024-09-05T20:05:00Z,exact,2026-09-11T00:00:00Z,CEO AI revenue outlook
SRC009,issuer_release,Vertiv,Vertiv Reports Third Quarter 2024 Results,https://investors.vertiv.com/news/news-details/2024/Vertiv-Reports-Strong-Third-Quarter-2024-Results-and-Raises-Full-Year-Guidance/default.aspx,2024-10-23T10:00:00Z,exact,2026-09-11T00:00:00Z,Orders section
SRC010,issuer_release,Broadcom,Broadcom Announces Fourth Quarter and Fiscal Year 2024 Results,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2024,2024-12-12T21:05:00Z,exact,2026-09-11T00:00:00Z,Full-year AI revenue
SRC011,prepared_remarks,Micron,First Quarter Fiscal 2025 Prepared Remarks,https://investors.micron.com/static-files/21b50828-dd30-429f-9502-b1ebc452c6e3,2024-12-18T21:05:00Z,exact,2026-09-11T00:00:00Z,HBM demand section
SRC012,issuer_release,Arista Networks,Arista Reports Fourth Quarter and Year End 2024 Results,https://investors.arista.com/Communications/Press-Releases-and-Events/Press-Release-Detail/2025/Arista-Networks-Inc.-Reports-Fourth-Quarter-and-Year-End-2024-Financial-Results/default.aspx,2025-02-18T21:05:00Z,exact,2026-09-11T00:00:00Z,2025 outlook
SRC013,issuer_release,Micron,Micron Innovates With NVIDIA From Data Center to Edge,https://investors.micron.com/news/press-release/2025/Micron-Innovates-From-the-Data-Center-to-the-Edge-With-NVIDIA-03-18-2025/default.aspx,2025-03-18T00:00:00Z,date_only,2026-09-11T00:00:00Z,HBM3E 12-high GB300 section
